year,country,artist_name,song_name,language,style,gender,main_singers,key,BPM,energy,danceability,happiness,loudness,acousticness,instrumentalness,liveness,speechiness,final_place
2009,Belgium,Copycat,Copycat,English,Pop,Male,1,-,-,-,-,-,,-,-,-,-,
2009,Belarus,Petr Elfimov,Eyes That Never Lie,English,Rock,Male,1,D Minor,138,90,39,26,4 dB,0,0,34,5,
2009,Sweden,Malena Ernman,La voix,"French, English",Traditional,Female,1,Bb Major,128,65,52,46,4 dB,35,0,21,4,21
2009,Armenia,Inga and Anush,Jan Jan,"English, Armenian",Traditional,Female,2,E Minor,115,86,78,76,4 dB,36,0,35,8,10
2009,Andorra,Susanne Georgi,La teva decisio (Get a Life),"Catalan, English",Pop,Female,1,D Major,133,40,77,92,16 dB,7,0,10,5,
2009,Switzerland,Lovebugs,The Highest Heights,English,Rock,Male,1,D Minor,118,93,47,29,4 dB,1,3,38,4,
2009,Turkey,Hadise,Dum Tek Tek,English,Dance,Female,1,F Major,115,97,75,87,4 dB,13,0,8,6,4
2009,Israel,Noa and Mira Awad,There Must Be Another Way,"English, Hebrew, Arabic",Pop,Female,2,Db Major,106,79,60,69,5 dB,23,0,10,2,16
2009,Bulgaria,Krassimir Avramov,Illusion,English,Dance,Mix,4,E Minor,130,91,49,44,5 dB,1,0,9,7,
2009,Iceland,Yohanna,Is It True?,English,Ballad,Female,1,C Minor,84,57,47,23,7 dB,35,0,7,3,2
2009,North Macedonia,Next Time,Nesto sto kje ostane,Macedonian,Rock,Male,1,-,-,-,-,-,,-,-,-,-,
2009,Romania,Elena,The Balkan Girls,English,Dance,Female,1,F Major,130,86,72,63,4 dB,2,0,5,3,19
2009,Finland,Waldo's People,Lose Control,English,Pop,Male,1,G Major,138,96,56,88,4 dB,0,23,26,6,25
2009,Portugal,Flor-de-Lis,Todas as ruas do amor,Portuguese,Traditional,Female,1,G Major,95,70,50,33,5 dB,34,0,12,3,15
2009,Malta,Chiara,What If We,English,Ballad,Female,1,Db Major,123,44,48,14,7 dB,62,0,7,3,22
2009,Bosnia and Herzegovina,Regina,Bistra voda,Bosnian,Ballad,Male,1,Fs Minor,152,78,52,38,4 dB,44,0,11,4,9
2009,Croatia,Igor Cukrov feat. Andrea,Lijepa Tena,Croatian,Ballad,Mix,2,Db Minor,116,69,58,43,4 dB,56,0,8,3,18
2009,Ireland,Sinead Mulvey and Black Daisy,Et Cetera,English,Rock,Female,1,F Minor,170,75,45,44,6 dB,0,0,36,3,
2009,Latvia,Intars Busulis,Probka,Russian,Pop,Mix,3,-,-,-,-,-,,-,-,-,-,
2009,Serbia,Marko Kon and Milaan,Cipela,Serbian,Traditional,Male,1,-,-,-,-,-,,-,-,-,-,
2009,Poland,Lidia Kopania,I Don't Wanna Leave,English,Ballad,Female,1,Fs Major,144,69,45,26,4 dB,31,0,55,3,
2009,Norway,Alexander Rybak,Fairytale,English,Traditional,Male,1,D Minor,108,79,58,67,5 dB,62,0,23,3,1
2009,Cyprus,Christina Metaxa,Firefly,English,Ballad,Female,1,-,-,-,-,-,,-,-,-,-,
2009,Slovakia,Kamil Mikulcik and Nela Pociskova,Le? tmou,Slovak,Ballad,Mix,2,-,-,-,-,-,,-,-,-,-,
2009,Denmark,Niels Brinck,Believe Again,English,Rock,Male,1,E Minor,128,75,66,34,5 dB,1,0,10,5,13
2009,Slovenia,Quartissimo feat. Martina,Love Symphony,"English, Slovene",Pop,Female,1,-,-,-,-,-,,-,-,-,-,
2009,Hungary,Zoli adok,Dance with Me,English,Pop,Male,1,Ab Major,125,96,66,81,4 dB,0,0,8,10,
2009,Azerbaijan,AySel and Arash,Always,English,Pop,Mix,2,-,-,-,-,-,,-,-,-,-,3
2009,Greece,Sakis Rouvas,This Is Our Night,English,Dance,Male,1,Fs Minor,128,92,65,65,5 dB,4,0,16,7,7
2009,Lithuania,Sasha Son,Love,"English, Russian",Ballad,Male,1,-,-,-,-,-,,-,-,-,-,23
2009,Moldova,Nelly Ciobanu,Hora din Moldova,"Romanian, English",Traditional,Female,1,-,-,-,-,-,,-,-,-,-,14
2009,Albania,Kejsi Tola,Carry Me in Your Dreams,English,Dance,Female,1,Ab Minor,128,67,68,67,8 dB,0,0,8,5,17
2009,Ukraine,Svetlana Loboda,Be My Valentine! (Anti-Crisis Girl),English,Pop,Female,1,-,-,-,-,-,,-,-,-,-,12
2009,Estonia,Urban Symphony,Randajad,Estonian,Ballad,Female,1,F Minor,124,72,69,64,6 dB,3,0,33,4,6
2009,Netherlands,The Toppers,Shine,English,Pop,Male,3,-,-,-,-,-,,-,-,-,-,
2009,France,Patricia Kaas,Et s'il fallait le faire,French,Ballad,Female,1,A Major,92,58,26,23,8 dB,55,0,90,8,8
2009,Russia,Anastasiya Prikhodko,Mamo,"Russian, Ukrainian",Ballad,Female,1,D Minor,130,94,64,45,4 dB,41,0,26,5,11
2009,Germany,Alex Swings Oscar Sings!,Miss Kiss Kiss Bang,English,Pop,Male,1,Bb Minor,136,89,62,56,4 dB,11,0,20,21,20
2009,United Kingdom,Jade Ewen,It's My Time,English,Ballad,Female,1,E Major,105,31,30,12,14 dB,1,79,29,3,5
2009,Spain,Soraya Arnelas,La noche es para mi,"Spanish, English",Dance,Female,1,F Minor,126,70,69,87,7 dB,1,73,14,3,24
